,LMA (g/m²),N content (mg/cm²),LAI (m²/m²),C content (mg/cm²),Chl content (μg/cm²),EWT (mg/cm²),Carotenoid content (μg/cm²),Phosphorus content (mg/cm²),Lignin (mg/cm²),Cellulose (mg/cm²),Fiber (mg/cm²),Anthocyanin content (μg/cm²),NSC (mg/cm²),Magnesium content (mg/cm²),Ca content (mg/cm²),Potassium content (mg/cm²),Boron content (mg/cm²),Copper content (mg/cm²),Sulfur content (mg/cm²),Manganese content (mg/cm²)
0,31.49390346,0.082232654,,,25.50478552,7.095194003,,,,,,,,0.003512179,0.012687347,,,,,
1,27.49281811,0.085081551,,,26.74102578,7.146532222,,,,,,,,0.005297723,0.01200851,,,,,
2,19.13175673,0.080796914,,,20.81039549,10.57322558,,,,,,,,0.003670772,0.022024478,,,,,
3,69.39162461,0.101204548,,,27.63801383,13.13238061,,,,,,,,0.008250284,0.013190039,,,,,
4,88.15622491,0.187639432,,,36.39925699,33.70172794,,,,,,,,0.01763871,0.372996808,,,,,
5,121.3575274,0.223376308,,,63.27106705,29.62961483,,,,,,,,0.037284133,0.345583121,,,,,
6,51.22085628,0.068468445,,,27.09807274,11.42379067,,,,,,,,0.009935002,0.026577478,,,,,
7,52.06602072,0.119449766,,,42.22470055,15.88236417,,,,,,,,0.024185286,0.099728124,,,,,
8,27.92746903,0.069283518,,,19.55188465,9.401716442,,,,,,,,0.005919792,0.014333884,,,,,
9,28.62793954,0.068221396,,,26.65785548,14.40893529,,,,,,,,0.008140834,0.031958304,,,,,
10,60.0514202,0.137661677,,,23.3681515,14.93050923,,,,,,,,0.016081579,0.052550974,,,,,
11,38.18125648,0.103517973,,,26.44842023,7.577363143,,,,,,,,0.008804491,0.017747015,,,,,
12,56.38358516,0.096201132,,,25.55150263,11.68076996,,,,,,,,0.013996289,0.048723586,,,,,
13,49.49534394,0.118120158,,,41.235521,24.87598523,,,,,,,,0.011134358,0.068272916,,,,,
14,89.79121687,,3.212962055,,26.76447412,19.79079745,7.547696358,,,,,0.968686196,,,,,,,,
15,29.12942638,,4.332305929,,29.29625649,12.49795901,8.748426166,,,,,1.030723475,,,,,,,,
16,56.94342169,,3.985629249,,37.67601888,29.93688303,10.91858869,,,,,1.116725575,,,,,,,,
17,53.57782059,,5.041697416,,39.93271752,18.42057097,10.95000196,,,,,1.752261677,,,,,,,,
18,46.13464628,,3.421533347,,28.34781914,13.77662795,8.362843953,,,,,1.13332355,,,,,,,,
19,38.84173704,,3.246462203,,32.59127447,10.0769035,8.093649623,,,,,1.383780847,,,,,,,,
20,51.1634774,,4.91657104,,36.40127244,18.34456175,10.5178251,,,,,1.818618854,,,,,,,,
