,LMA (g/m²),N content (mg/cm²),LAI (m²/m²),C content (mg/cm²),Chl content (μg/cm²),EWT (mg/cm²),Carotenoid content (μg/cm²),Phosphorus content (mg/cm²),Lignin (mg/cm²),Cellulose (mg/cm²),Fiber (mg/cm²),Anthocyanin content (μg/cm²),NSC (mg/cm²),Magnesium content (mg/cm²),Ca content (mg/cm²),Potassium content (mg/cm²),Boron content (mg/cm²),Copper content (mg/cm²),Sulfur content (mg/cm²),Manganese content (mg/cm²)
56,73.3416164,,2.688853256,,53.69415123,14.38859972,11.06784455,,,,,1.619132847,,,,,,,,
57,30.95945726,,0.550426426,,26.76637536,6.605233751,8.604667342,,,,,1.167145269,,,,,,,,
58,36.4281083,,4.150148252,,29.5742988,15.73637507,9.495362523,,,,,1.537305928,,,,,,,,
59,58.93047307,,4.937236343,,35.12583625,28.94530095,10.36344682,,,,,0.98614875,,,,,,,,
60,74.07407929,,2.769366278,,52.35528258,14.27567278,11.00931395,,,,,1.614458962,,,,,,,,
61,30.86090487,,6.816926348,,30.31465912,7.245874109,8.536787905,,,,,1.427311547,,,,,,,,
62,65.3728719,,6.235826253,,65.24486124,13.13763341,12.23027665,,,,,2.044311635,,,,,,,,
63,40.87883599,,4.220921094,,23.88266265,10.07422272,7.568383847,,,,,1.196104058,,,,,,,,
64,46.00818857,,4.344648607,,36.84463958,11.97735752,10.5357576,,,,,1.399570227,,,,,,,,
65,30.70104537,,6.878109191,,29.59647618,8.108500181,8.221489921,,,,,1.320856724,,,,,,,,
66,33.95574504,,3.420298985,,41.46496643,13.32813374,10.83023588,,,,,2.131314404,,,,,,,,
67,38.61159591,,4.902708597,,25.88759703,10.50031521,8.48083973,,,,,1.256281504,,,,,,,,
68,66.47708417,,6.315276347,,65.80045743,13.44780122,12.26038771,,,,,2.116621758,,,,,,,,
69,54.60301321,,4.929114458,,36.421666,29.17603814,10.53640237,,,,,1.099228805,,,,,,,,
70,45.95720728,,4.530790635,,38.6835639,12.55480709,10.70511401,,,,,1.468309912,,,,,,,,
71,81.45426821,,2.896800006,,23.01495938,20.11337188,8.445696902,,,,,1.541948325,,,,,,,,
72,38.81433482,,4.887845475,,26.02520942,10.65465334,8.485414901,,,,,1.273596583,,,,,,,,
73,38.40657959,,3.239032168,,29.10660513,15.54129256,9.385037907,,,,,1.7503886,,,,,,,,
74,21.66157887,,2.558708333,,25.85738505,12.23813383,7.790712493,,,,,0.720977279,,,,,,,,
