,LMA (g/m²),N content (mg/cm²),LAI (m²/m²),C content (mg/cm²),Chl content (μg/cm²),EWT (mg/cm²),Carotenoid content (μg/cm²),Phosphorus content (mg/cm²),Lignin (mg/cm²),Cellulose (mg/cm²),Fiber (mg/cm²),Anthocyanin content (μg/cm²),NSC (mg/cm²),Magnesium content (mg/cm²),Ca content (mg/cm²),Potassium content (mg/cm²),Boron content (mg/cm²),Copper content (mg/cm²),Sulfur content (mg/cm²),Manganese content (mg/cm²)
0,19.00473422,0.051647262,,,19.33997867,6.019981554,,,,,,,,0.003696421,0.010938365,,,,,
1,35.96897089,0.095978433,,,19.01040153,6.612722633,,,,,,,,0.00451681,0.016675043,,,,,
2,22.96931256,0.07432655,,,24.4125549,11.89283987,,,,,,,,0.003589506,0.02035173,,,,,
3,38.37375246,0.080823619,,,26.40689094,19.47993878,,,,,,,,0.003379183,0.090705766,,,,,
4,41.31957048,0.085123951,,,36.50776719,11.47156713,,,,,,,,0.007216542,0.013719428,,,,,
5,46.65230532,0.115690304,,,34.04738199,10.88992277,,,,,,,,0.017227154,0.091525801,,,,,
6,24.06151906,0.055788326,,,22.82402641,10.99659417,,,,,,,,0.007203685,0.031153235,,,,,
7,54.00966904,0.104529865,,,28.70283793,20.79431837,,,,,,,,0.015804635,0.095512046,,,,,
8,28.61952374,0.065789185,,,19.09442534,10.72833457,,,,,,,,0.004027397,0.013458045,,,,,
9,39.609227,0.083543801,,,23.32002101,10.27004831,,,,,,,,0.006999221,0.038487761,,,,,
10,79.30207186,0.264273052,,,41.09779798,10.35241479,,,,,,,,0.007446368,0.035952413,,,,,
11,34.54289034,0.086752203,,,24.07957837,13.99223372,,,,,,,,0.010800777,0.070533554,,,,,
12,66.92423682,0.096307283,,,17.68320468,11.75633375,,,,,,,,0.014207212,0.051486154,,,,,
13,55.03569818,0.151880211,,,48.53845705,23.87703968,,,,,,,,0.010490456,0.080924435,,,,,
14,41.73416093,0.106992583,,,38.04438331,21.99425055,,,,,,,,0.007362882,0.04323272,,,,,
15,70.90203514,,1.650159684,,68.18551947,19.94786887,11.62001715,,,,,2.169330615,,,,,,,,
16,38.67542128,,2.618133643,,32.97792168,10.73047351,7.920989256,,,,,1.416568852,,,,,,,,
17,38.11471508,,1.855035968,,27.5844285,13.6423959,8.623809006,,,,,1.287536996,,,,,,,,
18,56.07826348,,0.597367194,,65.58076382,17.74897527,12.11460323,,,,,1.600649004,,,,,,,,
19,26.48356028,,4.6418,,28.84675716,19.33937066,8.740200717,,,,,0.871428343,,,,,,,,
20,23.73660223,,3.397279044,,34.66482346,17.32290517,9.119797188,,,,,1.312453372,,,,,,,,
21,33.46523036,,4.1615,,40.41117533,22.79297196,10.79531257,,,,,1.5147519,,,,,,,,
22,,,0.185566772,,11.39552854,,5.237370171,,,,,0.898114386,,,,,,,,
23,86.23365604,,3.403160953,,26.9641431,17.631523,7.59035155,,,,,0.943068951,,,,,,,,
24,69.11706116,,2.288419846,,67.26299066,18.63769065,11.68842464,,,,,2.088911436,,,,,,,,
25,40.67795482,,2.303239401,,26.6341299,13.21057661,8.46512874,,,,,1.243804766,,,,,,,,
26,26.97805901,,2.722846149,,33.92166481,17.04784584,9.099317901,,,,,1.320270635,,,,,,,,
27,34.68835214,,4.77375,,38.92696403,21.1381045,10.91132889,,,,,1.542308473,,,,,,,,
28,,,0.299947806,,13.93011518,,5.575082154,,,,,0.893277194,,,,,,,,
29,53.84473758,,3.149601399,,38.96002508,19.18194049,11.53067527,,,,,1.335833557,,,,,,,,
30,37.99106142,,5.124666667,,37.53944947,20.07872081,10.94060763,,,,,1.521565097,,,,,,,,
31,43.75113254,,5.018256837,,30.07024566,10.69001366,8.800684686,,,,,1.484900589,,,,,,,,
32,44.5319454,,3.062711899,,25.0836153,12.42028613,8.186347211,,,,,1.176038208,,,,,,,,
33,43.37335822,,5.21425,,36.24863164,19.61482089,10.88314878,,,,,1.452521772,,,,,,,,
34,29.29115659,,4.749754412,,32.27034476,10.49936051,9.680923126,,,,,1.484379487,,,,,,,,
35,56.18284088,,3.706748252,,35.03117669,18.5478977,10.85813315,,,,,1.27867508,,,,,,,,
36,76.1625646,,4.085198481,,27.46035905,11.34980581,7.630140045,,,,,0.865225292,,,,,,,,
37,46.15803919,,5.08146503,,27.20197583,11.75874528,8.074920026,,,,,1.099458476,,,,,,,,
38,57.12692839,,3.865468531,,32.92923421,18.34606569,10.46256929,,,,,1.228403039,,,,,,,,
39,46.68928409,,3.639605242,,23.99987752,11.72779312,7.95900435,,,,,1.134535517,,,,,,,,
40,66.96874078,,1.935463824,,59.97883795,15.56171791,11.4863483,,,,,1.624714264,,,,,,,,
41,57.92103978,,3.944286713,,30.73561287,18.22102659,10.02747688,,,,,1.163669129,,,,,,,,
42,47.13170898,,3.859584731,,23.63304993,11.41822067,7.86462242,,,,,1.123633122,,,,,,,,
43,45.44555426,,5.669147951,,26.90087633,11.19043938,7.971128182,,,,,1.075129041,,,,,,,,
44,28.0782125,,1.466388594,,26.82737177,13.18350993,7.869296585,,,,,1.086194022,,,,,,,,
45,63.88674391,,5.937223549,,64.50320011,12.92238429,12.16048043,,,,,1.937873713,,,,,,,,
46,41.47550867,,3.309820179,,25.97170193,11.64402886,8.756404545,,,,,1.086072531,,,,,,,,
47,45.73706926,,4.015234133,,34.50302056,11.30577304,10.30719301,,,,,1.324753268,,,,,,,,
48,63.62452859,,3.491440661,,21.34385976,19.20716383,8.424768428,,,,,1.796819995,,,,,,,,
49,25.11179408,,1.8267071,,25.79695715,12.49248529,7.582270544,,,,,1.019857605,,,,,,,,
50,39.40186298,,6.02290025,,20.64186574,11.96887657,7.068330377,,,,,0.847470322,,,,,,,,
51,40.86862324,,7.136379902,,21.05412095,7.730511879,7.820684567,,,,,0.937181443,,,,,,,,
52,34.19868883,,6.6713016,,32.51781933,7.879259741,8.391588632,,,,,1.186956919,,,,,,,,
53,38.24228392,,4.911200113,,25.91934595,10.37682348,8.503848113,,,,,1.247498284,,,,,,,,
54,22.41710814,,3.213041667,,30.36014974,12.79436135,8.639233013,,,,,0.835445528,,,,,,,,
55,39.93201172,,7.133535475,,20.92165253,7.644462473,7.658702678,,,,,0.864033509,,,,,,,,
56,39.2811989,,3.204877845,,25.70735295,11.84731764,8.572967865,,,,,1.088813464,,,,,,,,
57,56.94707936,,4.940142376,,35.70607807,29.04486089,10.43939034,,,,,1.03742642,,,,,,,,
58,74.62583817,,2.826491013,,50.9891035,14.20331141,10.95917339,,,,,1.60859921,,,,,,,,
59,35.1675106,,6.376976259,,51.46765644,8.318184567,10.98180525,,,,,2.07498738,,,,,,,,
60,30.60166615,,6.902908456,,28.85963984,9.271152859,7.862214069,,,,,1.196854401,,,,,,,,
61,34.53266423,,3.318243035,,41.93836223,13.47313663,10.97680047,,,,,2.221998474,,,,,,,,
62,77.8336475,,5.159048263,,26.80745413,10.99491847,6.95429535,,,,,0.834135204,,,,,,,,
63,37.67459009,,6.94944008,,21.31974715,7.661622539,7.308417653,,,,,0.714615614,,,,,,,,
64,35.40124124,,3.976208238,,24.89942051,9.821818351,7.572514992,,,,,1.272788773,,,,,,,,
65,51.8982746,,4.90415259,,37.27260002,29.33883268,10.65448288,,,,,1.171555906,,,,,,,,
66,45.78186536,,4.731222523,,40.96789809,13.29336155,10.9111865,,,,,1.557937068,,,,,,,,
67,30.56276721,,6.891324142,,28.10415008,10.73383214,7.458960348,,,,,1.05530458,,,,,,,,
68,35.20255676,,3.21525558,,42.55268469,13.64818436,11.14606426,,,,,2.322921305,,,,,,,,
69,37.76773878,,6.404660162,,27.5086261,11.85478536,7.823761603,,,,,0.928498645,,,,,,,,
70,69.40780532,,6.334474017,,67.28118105,14.47322335,12.31103571,,,,,2.299424331,,,,,,,,
71,36.35377998,,6.768189112,,21.85031019,7.76483201,7.120114515,,,,,0.638345652,,,,,,,,
72,45.48216278,,4.945944272,,43.69764216,14.19302091,11.15397508,,,,,1.668451693,,,,,,,,
73,97.13966572,,2.46715146,,25.98742501,20.88936448,8.659264227,,,,,1.303254606,,,,,,,,
74,27.57747892,,6.434780702,,35.06723969,9.738203541,7.566468592,,,,,1.177901409,,,,,,,,
75,37.53971335,,0.506055944,,29.27039048,18.06308258,8.976201351,,,,,1.817329766,,,,,,,,
76,26.9944487,,3.087706116,,25.63063331,12.90106535,7.844537316,,,,,1.083519513,,,,,,,,
77,41.62002404,,4.745663283,,40.63747869,30.01692007,11.1351354,,,,,1.451685497,,,,,,,,
78,37.77007442,,2.900704187,,45.241212,14.35359653,11.79005086,,,,,2.68712237,,,,,,,,
79,32.89705922,,6.014199209,,28.48404321,13.31566255,7.878966965,,,,,0.853170777,,,,,,,,
80,23.3712171,,3.089160474,,25.71542986,13.2053336,7.652593117,,,,,1.080378504,,,,,,,,
81,19.35609609,,2.939045059,,28.33326665,9.610402044,7.735093286,,,,,1.504949807,,,,,,,,
82,41.43766401,,5.828700395,,28.2630774,15.18541032,8.81822469,,,,,1.219570683,,,,,,,,
83,38.81186033,,2.793990714,,46.41924108,14.6488236,12.05011146,,,,,2.829000249,,,,,,,,
84,14.28440238,,2.565642292,,29.48346369,9.61867139,7.807887027,,,,,1.579404983,,,,,,,,
