,LMA (g/m²),N content (mg/cm²),LAI (m²/m²),C content (mg/cm²),Chl content (μg/cm²),EWT (mg/cm²),Carotenoid content (μg/cm²),Phosphorus content (mg/cm²),Lignin (mg/cm²),Cellulose (mg/cm²),Fiber (mg/cm²),Anthocyanin content (μg/cm²),NSC (mg/cm²),Magnesium content (mg/cm²),Ca content (mg/cm²),Potassium content (mg/cm²),Boron content (mg/cm²),Copper content (mg/cm²),Sulfur content (mg/cm²),Manganese content (mg/cm²)
0,27.89021383,0.060400645,,,24.07812286,6.617554218,,,,,,,,0.005759905,0.012191345,,,,,
1,30.30577688,0.091056561,,,29.73668941,17.49557847,,,,,,,,0.003711371,0.069664046,,,,,
2,29.94560845,0.08714314,,,29.78528674,10.35193238,,,,,,,,0.009243956,0.055860635,,,,,
3,18.20789898,0.04669939,,,18.70853914,5.814839638,,,,,,,,0.013819759,0.019997434,,,,,
4,21.66009365,0.049481011,,,23.92323637,10.43868029,,,,,,,,0.005272961,0.02597282,,,,,
5,30.43545792,0.076679497,,,17.83742086,7.044038651,,,,,,,,0.00480534,0.015446147,,,,,
6,48.03200809,0.154691102,,,32.12775315,16.78391274,,,,,,,,0.012150671,0.088800245,,,,,
7,144.8929276,0.304616081,,,59.72068112,44.19384032,,,,,,,,0.025496297,0.076870414,,,,,
8,38.00152051,0.070097175,,,23.04243089,13.97507764,,,,,,,,0.014046255,0.033010604,,,,,
9,59.58324346,0.104971315,,,27.17428201,13.54191028,,,,,,,,0.012498886,0.033281497,,,,,
10,59.76072059,0.07045238,,,14.5461188,11.99982491,,,,,,,,0.007302417,0.05858692,,,,,
11,37.77907835,0.112023124,,,50.00344856,25.2862369,,,,,,,,0.007022828,0.039087746,,,,,
12,51.44674447,0.128251214,,,38.65698995,17.89296993,,,,,,,,0.013034172,0.071279001,,,,,
13,61.7746097,0.195667104,,,38.06426302,11.31841876,,,,,,,,0.021714696,0.337705703,,,,,
14,45.82705584,,2.905599209,,28.7475392,14.46469672,8.451562485,,,,,1.138707777,,,,,,,,
15,42.71898137,,3.242724716,,37.09796539,12.84075065,9.023417861,,,,,1.673124118,,,,,,,,
16,34.28463548,,4.572313012,,46.77649605,13.93159614,10.84199867,,,,,1.841728981,,,,,,,,
17,52.45072179,,2.751174825,,40.78693099,19.61415126,11.80765352,,,,,1.342719993,,,,,,,,
18,27.06881257,,4.0238,,26.15906687,15.98442631,8.174988201,,,,,0.853262123,,,,,,,,
19,46.32153986,,3.897086998,,27.99340277,13.16199842,8.280820441,,,,,1.126706506,,,,,,,,
20,34.70766032,,4.061438902,,28.36430429,12.07778977,8.873376745,,,,,1.047345872,,,,,,,,
21,39.67816661,,3.269170666,,42.95293939,15.06363075,10.86157784,,,,,1.860984239,,,,,,,,
22,49.50891511,,4.784800375,,33.24150721,18.30292331,10.12557124,,,,,1.871220177,,,,,,,,
23,25.65470628,,3.5008,,19.41490343,14.77860126,7.030633345,,,,,0.801445769,,,,,,,,
24,35.02125306,,4.62901973,,35.93890206,12.98343671,9.395465671,,,,,1.595767507,,,,,,,,
25,26.75261121,,0.397018824,,16.24303472,8.671466202,5.912575856,,,,,0.895493398,,,,,,,,
26,40.0679483,,4.939855107,,24.65114486,11.90887134,7.810092626,,,,,1.085236858,,,,,,,,
27,55.0887773,,3.468125874,,37.04144032,18.82652263,11.21416848,,,,,1.314485253,,,,,,,,
28,22.24124143,,3.0728,,8.614266842,15.72189549,5.30713615,,,,,0.715979279,,,,,,,,
29,32.94727274,,4.29688482,,43.54610378,13.37512527,10.53261873,,,,,1.775902053,,,,,,,,
30,78.05646466,,3.926502808,,27.38167406,12.56692802,7.639817762,,,,,0.880992408,,,,,,,,
31,46.33323631,,4.72705284,,27.42048111,12.15305709,8.136858478,,,,,1.109773969,,,,,,,,
32,43.83905056,,5.491163184,,28.16969338,10.09927391,8.708892795,,,,,1.420078061,,,,,,,,
33,38.73138554,,3.823756813,,27.56587274,11.78231214,8.936649872,,,,,1.061191976,,,,,,,,
34,62.7154002,,4.526743499,,34.85383433,29.13366559,10.42175999,,,,,0.921897082,,,,,,,,
35,65.15205343,,1.714621073,,61.15384399,15.91803825,11.59521919,,,,,1.622272946,,,,,,,,
36,41.47962145,,5.508008321,,24.16013071,11.72024571,7.788092561,,,,,1.022500957,,,,,,,,
